Отметка времени,Кофе или чай?,Пол,Занимаетесь спортом?,Есть ли работа?,Есть ли сердечные заболевания?,Сова или Жаворонок,Есть ли молоко в холодильнике?,Время подъема,Административный округ,Время сна
1,Чай,М,Нет,Да,Нет,Жаворонок,Нет,6-7 утра,,7-8 часов
2,Кофе,М,Да,Да,Нет,Сова,Да,5-6 утра,Юго-Восточный административный округ,7-8 часов
3,Чай,М,Да,Нет,Нет,Сова,Нет,Позднее 8 утра,Восточный административный округ,7-8 часов
4,Чай,М,Нет,Нет,Нет,Сова,Нет,Позднее 8 утра,Южный административный округ,7-8 часов
5,Чай,Ж,Нет,Да,Нет,Сова,Да,Позднее 8 утра,Южный административный округ,Более 8 часов
6,Чай,М,Да,Да,Нет,Сова,Нет,7-8 утра,Южный административный округ,От 3 до 6 часов
7,Кофе,М,Да,Да,Да,Жаворонок,Нет,5-6 утра,Северо-западный административный округ,Менее 3 часов
8,Кофе,Ж,Нет,Нет,Нет,Сова,Нет,Позднее 8 утра,Восточный административный округ,7-8 часов
9,Чай,М,Нет,Нет,Нет,Сова,Да,Позднее 8 утра,Юго-Восточный административный округ,7-8 часов
10,Чай,М,Нет,Нет,Нет,Сова,Нет,7-8 утра,Северо-Восточный административный округ,7-8 часов
11,Чай,М,Да,Нет,Нет,Сова,Да,Позднее 8 утра,Юго-Восточный административный округ,7-8 часов
12,Чай,М,,Да,Нет,Жаворонок,Да,Позднее 8 утра,Юго-Западный административный округ,От 3 до 6 часов
13,Чай,Ж,Нет,Да,Нет,Сова,Да,Позднее 8 утра,Южный административный округ,Более 8 часов
14,Кофе,М,Да,Да,Нет,Сова,Да,7-8 утра,Юго-Восточный административный округ,7-8 часов
15,Кофе,М,Да,Нет,Нет,Сова,Да,Позднее 8 утра,Юго-Восточный административный округ,7-8 часов
16,Чай,М,Нет,Да,Нет,Жаворонок,Да,6-7 утра,Восточный административный округ,От 3 до 6 часов
17,Кофе,Ж,Да,Да,Да,Жаворонок,Да,7-8 утра,Северо-Восточный административный округ,7-8 часов
18,Чай,М,Да,Да,Нет,Сова,Да,7-8 утра,Северо-Восточный административный округ,7-8 часов
19,Кофе,М,Нет,Нет,Нет,Сова,Да,Позднее 8 утра,Южный административный округ,Более 8 часов
20,Кофе,М,Да,Нет,Да,Сова,Да,Позднее 8 утра,Северный административный округ,7-8 часов
21,Чай,М,Да,Нет,Нет,Сова,Нет,Позднее 8 утра,Восточный административный округ,7-8 часов
22,Чай,М,Да,Да,Нет,Жаворонок,Да,Позднее 8 утра,Южный административный округ,7-8 часов
23,Чай,Ж,Да,Да,Нет,Сова,Да,Позднее 8 утра,Восточный административный округ,Более 8 часов
24,Кофе,М,Нет,Нет,Нет,Сова,Да,Позднее 8 утра,Южный административный округ,Более 8 часов
25,Чай,М,Нет,Нет,Нет,Сова,Нет,Позднее 8 утра,Южный административный округ,7-8 часов
26,Кофе,М,Да,Нет,Нет,Сова,Да,Позднее 8 утра,Юго-Восточный административный округ,От 3 до 6 часов
27,Чай,М,Да,Нет,Нет,Сова,Да,Позднее 8 утра,Восточный административный округ,Более 8 часов
28,Чай,М,Да,Да,Нет,Сова,Да,Позднее 8 утра,Южный административный округ,Более 8 часов
29,Чай,М,Да,Да,Да,Жаворонок,Нет,Позднее 8 утра,Юго-Восточный административный округ,7-8 часов
30,Чай,М,Нет,Нет,Нет,Сова,Нет,7-8 утра,Северо-западный административный округ,7-8 часов
31,Чай,М,Да,Да,Нет,Сова,Да,7-8 утра,Подмосковье,7-8 часов
32,Чай,М,Да,Да,Нет,Сова,Нет,7-8 утра,Южный административный округ,7-8 часов
33,Чай,М,Да,Нет,Да,Сова,Да,Позднее 8 утра,Юго-Западный административный округ,Более 8 часов
34,Кофе,М,Да,Нет,Нет,Сова,Да,Позднее 8 утра,Центральный административный округ,Более 8 часов
35,Чай,М,Нет,Да,Да,Сова,Да,Позднее 8 утра,Подмосковье,7-8 часов
36,Чай,Ж,Да,Да,Нет,Сова,Да,Позднее 8 утра,Юго-Западный административный округ,Более 8 часов
37,Чай,М,Нет,Да,Нет,Сова,Да,Позднее 8 утра,Северо-Восточный административный округ,7-8 часов
38,Чай,М,Нет,Нет,Нет,Сова,Да,Позднее 8 утра,Южный административный округ,От 3 до 6 часов
39,Чай,М,Да,Нет,Нет,Сова,Да,7-8 утра,Центральный административный округ,7-8 часов
40,Чай,М,Да,Да,Да,Сова,Да,7-8 утра,Юго-Восточный административный округ,7-8 часов
41,Кофе,М,Да,Да,Нет,Сова,Да,7-8 утра,Подмосковье,7-8 часов